Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:BU(Case4),5,30000,30000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,50648,0.00562756,196929194,13264,4777,0.000530778,17917,3205,0.038,0,0.019,0.191,0,0.201,0.454,0.003,0,0.194,0.038,0.004,47.7827,8192,21.551,306.288,1805,1805,1,0.229,7,0,197,238,487,1510,2912,4952,1787,0,0,0,181,367,90,877,1536,15552,8192,0,0,0,7.01,7.54576,7.41844,7.19206,7.15493,7.37774,7.46011,0,0,0,6.60326,6.27019,6.37582,6.38324,6.40682,6.27262,6.28659,0,0,0,1.36686,1.93836,1.80887,1.75882,1.66552,1.90005,1.99646,0,0,0,1.19363,0.948674,1.00304,1.06533,1.01132,0.948788,0.966418,0,0,0
dTOUCH:BU(Case4),5,30000,30000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,51258,0.00569533,303426056,15199,4777,0.000530778,16386,3266,0.034,0,0.18,0.231,0,0.176,0.448,0,0,0.171,0.043,0.004,17.0699,8968,51.1022,344.344,546,546,1,0.274,7,7,30000,0,0,0,0,0,0,0,0,0,1210,0,286,0,2879,8968,271,0,0,0,7.28693,0,0,0,0,0,0,0,0,0,6.29164,0,0,6.50798,6.27491,6.28344,6.31101,0,0,0,1.80839,0,0,0,0,0,0,0,0,0,0.966991,0,0,0.948816,0.785251,0.925092,0.995581,0,0,0
reTOUCH:BU(Case4),5,30000,30000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,50786,0.00564289,798910401,13362,4777,0.000530778,50,3266,0.034,0,0.006,0.193,0,0.099,0.334,0,0,0.096,0.059,0.002,49.4481,18707,62.5651,968.88,1813,1813,1,0.252,7,0,0,0,58,0,189,12933,16770,0,0,0,52,0,0,43,495,7437,18707,0,0,0,0,0,6.88722,0,6.36759,7.23207,7.34205,0,0,0,6.29326,0,0,6.30544,6.25886,6.26522,6.30344,0,0,0,0,0,1.03166,0,1.20403,1.74665,1.85909,0,0,0,0.673494,0,0,0.879565,0.811088,0.922978,0.988264,0,0,0
cTOUCH:BU(Case4),5,50000,50000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,119985,0.0047994,1709321877,29329,11002,0.00044008,10551,5834,0.054,0,0.028,0.519,0,0.367,0.979,0.002,0.001,0.353,0.098,0.008,49.0365,31122,27.7791,769.14,3011,3011,1,0.617,8,0,156,189,1637,1500,2446,847,6520,26154,0,0,59,34,45,1405,1433,119,9949,31122,0,0,7.34013,8.03088,7.1712,7.40392,7.25768,7.13079,7.16556,7.34258,0,0,6.6554,6.62501,6.61139,6.25695,6.27945,6.96824,6.33754,6.3028,0,0,1.99632,1.99838,1.78927,1.84272,1.83722,1.78937,1.70033,1.85517,0,0,1.14551,0.992498,1.01874,0.939153,0.908869,1.34511,1.00334,0.972163,0,0
dTOUCH:BU(Case4),5,50000,50000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,121005,0.0048402,1390943109,35056,11002,0.00044008,13141,5890,0.056,0,0.553,0.646,0,0.305,1.021,0.003,0,0.294,0.104,0.006,16.8277,26317,62.8309,771.994,913,913,1,0.75,7,7,50000,0,0,0,0,0,0,0,0,0,553,215,0,2004,1181,6589,26317,0,0,0,7.28316,0,0,0,0,0,0,0,0,0,6.31242,0,5.98319,6.96545,6.54716,6.18739,6.29902,0,0,0,1.80776,0,0,0,0,0,0,0,0,0,0.979421,0,0.948047,1.9065,1.27196,0.856876,0.952096,0,0,0
reTOUCH:BU(Case4),5,50000,50000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,123585,0.0049434,2197464843,35643,11002,0.00044008,24,5890,0.054,0,0.01,0.42,0,0.168,0.655,0.002,0,0.162,0.104,0.003,49.4024,42955,62.4741,1555.31,3013,3013,1,0.524,7,0,0,0,7,0,776,6238,42955,0,0,0,138,0,3,5,126,1637,42201,0,0,0,0,0,7.04017,0,7.13212,7.02441,7.32374,0,0,0,6.22592,0,6.65995,6.71829,6.46001,6.19351,6.31505,0,0,0,0,0,0.732991,0,1.7159,1.62643,1.83143,0,0,0,0.763565,0,1.37318,1.54018,1.28417,0.897631,0.980017,0,0,0
cTOUCH:BU(Case4),5,70000,70000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,209261,0.00427063,3916907153,59615,18948,0.000386694,2972,8540,0.077,0,0.045,0.951,0,0.519,1.605,0.003,0.001,0.501,0.146,0.011,48.1684,46302,30.5633,907.464,4205,4205,1,1.097,8,0,181,1641,1402,1366,1593,4837,9706,46302,0,0,191,354,1705,2080,1085,4705,27589,23751,0,0,7.76796,7.16563,7.46694,7.51944,7.52263,7.14657,7.38929,7.25297,0,0,6.52445,6.4013,6.37198,6.25651,6.28351,6.4609,6.32461,6.31598,0,0,2.34222,1.84364,1.89107,1.95532,1.88423,1.73572,1.85603,1.79273,0,0,1.11149,0.968913,1.03713,0.895261,0.936007,1.11172,0.987101,0.942474,0,0
dTOUCH:BU(Case4),5,70000,70000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,206143,0.004207,2992900250,59844,18948,0.000386694,1744,9556,0.078,0.002,1.067,1.217,0,0.427,1.741,0.008,0.002,0.411,0.117,0.007,16.7258,36911,73.5851,1112.45,1264,1264,1,1.334,7,7,70000,0,0,0,0,0,0,0,0,0,1310,0,410,130,2521,26974,36911,0,0,0,7.28403,0,0,0,0,0,0,0,0,0,6.33409,0,0,0,7.03389,6.32535,6.32649,0,0,0,1.80999,0,0,0,0,0,0,0,0,0,0.980577,0,0,0,1.13536,0.908376,0.971818,0,0,0
reTOUCH:BU(Case4),5,70000,70000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,211026,0.00430665,4221073432,61400,18948,0.000386694,35,9556,0.074,0,0.016,0.751,0,0.234,1.079,0.003,0,0.226,0.161,0.003,49.667,65575,62.0404,1912.04,4205,4205,1,0.912,7,0,16,0,0,0,12,4362,65575,0,0,0,409,0,0,0,2,1931,58102,0,0,0,6.26998,0,0,0,7.63976,7.01877,7.30224,0,0,0,6.17765,0,0,0,7.05194,6.30226,6.33453,0,0,0,0.874126,0,0,0,2.06824,1.56087,1.82421,0,0,0,0.864097,0,0,0,1.12189,0.900649,0.982944,0,0,0
cTOUCH:BU(Case4),5,90000,90000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,323274,0.00399104,6824319239,92812,29309,0.00036184,140,12025,0.096,0,0.053,1.312,0,0.668,2.147,0.005,0.001,0.644,0.204,0.015,48.8712,69348,31.0575,1199.72,5405,5405,1,1.516,8,0,582,201,582,1612,3011,7175,7349,69348,0,0,189,284,567,1778,3871,3629,16258,51399,0,0,6.94542,6.59138,7.60558,7.49381,7.39228,7.23975,7.35706,7.27566,0,0,6.34094,6.23757,6.25801,6.29811,6.28312,6.40729,6.3624,6.32708,0,0,1.5778,1.12527,1.95614,1.91044,1.83717,1.76928,1.82107,1.81045,0,0,1.10147,1.04216,0.988306,0.99517,0.923128,1.0485,1.01707,0.971369,0,0
