Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample3.bin,SGrid,3,100,100,134,0.00335,173875,3,3,7.5e-05,3,15,0,0,0.002,0.002,0.001,0.014,0.022,0,0,0.014,0.003,0,15.3226,818,32.1129,91.5107,125,125,1,0.005,5,0,346,285,132,932,302,0,0,0,0,0,500,270,352,573,290,0,0,0,0,0,166.809,166.444,166.268,167.114,166.077,0,0,0,0,0,166.626,166.598,166.18,166.367,166.556,0,0,0,0,0,10.6318,10.5724,10.2363,10.8815,10.2695,0,0,0,0,0,10.3143,11.4552,10.9441,10.4378,10.8806,0,0,0,0,0,
dTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample3.bin,SGrid,3,100,100,134,0.00335,1147347,3,3,7.5e-05,22,9,0.002,0,0.005,0.004,0.003,0.009,0.02,0,0,0.009,0.001,0.002,18.1818,977,74.75,177.537,69,69,1,0.005,4,4,2000,0,0,0,0,0,0,0,0,0,213,58,730,977,0,0,0,0,0,0,166.745,0,0,0,0,0,0,0,0,0,166.602,165.273,166.976,165.795,0,0,0,0,0,0,10.6698,0,0,0,0,0,0,0,0,0,8.89142,10.1229,9.7525,9.8365,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample3.bin,SGrid,3,100,100,97,0.002425,1251906,2,3,7.5e-05,9,9,0,0,0.001,0.003,0,0.004,0.012,0,0,0.004,0.003,0,19.3548,1036,64.2258,189.316,125,125,1,0.006,4,0,345,153,457,1036,0,0,0,0,0,0,281,250,433,1027,0,0,0,0,0,0,166.662,166.912,166.476,166.833,0,0,0,0,0,0,167.005,165.869,166.109,166.579,0,0,0,0,0,0,11.4846,11.0408,10.2324,10.5324,0,0,0,0,0,0,10.1033,10.551,10.762,10.8404,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample3.bin,SGrid,3,100,100,102,0.00255,0,0,3,7.5e-05,9,36,0.002,0,0.001,0.002,0,0.007,0.015,0,0,0.006,0.002,0,22.5806,1036,63.7903,189.586,125,125,1,0.004,4,0,345,153,457,1036,0,0,0,0,0,0,346,143,450,1025,0,0,0,0,0,0,166.662,166.912,166.476,166.833,0,0,0,0,0,0,166.32,166.492,166.22,166.554,0,0,0,0,0,0,11.4846,11.0408,10.2324,10.5324,0,0,0,0,0,0,10.3094,10.0481,10.7364,10.8793,0,0,0,0,0,0,
PS,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample4.bin,NL,0,0,0,43855,1.09638,0,0,3,7.5e-05,0,0,0.032,0,0,0,0,0,0.121,0,0,0.001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SGrid,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample4.bin,NL,0,0,1000000,61,0.001525,0,5,3,7.5e-05,0,0,0.002,0,0.004,0.002,0,0,0.009,0,0,0,0,0,0,0,0,0,1,1,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample4.bin,SGrid,3,100,100,56,0.0014,2609500,5,3,7.5e-05,0,7,0.002,0,0,0.004,0.002,0.007,0.014,0,0,0.007,0.002,0,17.7419,1056,64.4032,141.32,29,29,1,0.006,4,0,2000,0,0,0,0,0,0,0,0,0,253,239,445,1056,0,0,0,0,0,0,166.745,0,0,0,0,0,0,0,0,0,165.875,166.281,166.359,166.091,0,0,0,0,0,0,10.6698,0,0,0,0,0,0,0,0,0,11.0616,10.3411,10.6992,11.3112,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample4.bin,NL,0,0,1000000,285,0.007125,0,7,3,7.5e-05,0,0,0.003,0,0.013,0.037,0,0,0.053,0,0,0,0,0,0,0,0,0,1,1,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample4.bin,SGrid,3,100,100,107,0.002675,67852,3,3,7.5e-05,11,22,0.002,0,0.002,0.002,0.002,0.009,0.019,0,0,0.009,0.003,0,12.9032,465,31.9919,67.2999,125,125,1,0.005,5,0,571,343,174,580,321,0,0,0,0,0,663,349,213,480,273,0,0,0,0,0,166.779,166.699,165.834,167.164,166.418,0,0,0,0,0,166.19,166.206,166.146,166.119,166.291,0,0,0,0,0,11.0852,11.1912,10.0225,10.4099,10.1461,0,0,0,0,0,11.1484,10.9085,10.8866,11.3276,10.3406,0,0,0,0,0,
dTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample4.bin,SGrid,3,100,100,146,0.00365,1050250,1,3,7.5e-05,27,7,0.001,0,0.006,0.007,0.004,0.006,0.017,0,0,0.006,0.002,0,18.1818,955,75.5227,163.15,69,69,1,0.009,4,4,2000,0,0,0,0,0,0,0,0,0,302,127,589,955,0,0,0,0,0,0,166.745,0,0,0,0,0,0,0,0,0,166.185,166.598,166.88,166.328,0,0,0,0,0,0,10.6698,0,0,0,0,0,0,0,0,0,9.05883,9.67894,11.1668,11.621,0,0,0,0,0,0,
