Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,SGrid,3,100,10,739108,0.328492,188237648,424614,111954,0.0497573,0,0,0.018,0,0.003,1.523,0,0.046,1.593,0.017,0,0.045,0.035,0.002,47.1239,5902,66.3717,572.493,905,905,1,1.558,6,0,72,0,34,544,8448,5902,0,0,0,0,72,0,34,544,8448,5902,0,0,0,0,7.02839,0,6.83026,7.30257,7.37372,7.23064,0,0,0,0,7.02839,0,6.83026,7.30257,7.37372,7.23064,0,0,0,0,2.13539,0,0.891494,1.88392,1.83481,1.78192,0,0,0,0,2.13539,0,0.891494,1.88392,1.83481,1.78192,0,0,0,0
cTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample8.bin,SGrid,3,100,10,20836,0.00926044,165031685,6079,1976,0.000878222,730,629,0.021,0,0.012,0.111,0,0.097,0.246,0,0,0.093,0.029,0.003,45.6954,5965,31.6126,334.443,907,907,1,0.14,7,0,204,495,802,1542,1084,4488,5655,0,0,0,577,129,1083,1908,1693,3016,5965,0,0,0,6.77814,7.28055,7.02928,7.32935,7.32944,7.3985,7.25886,0,0,0,6.93612,6.82687,7.09976,7.48321,7.39607,7.12068,7.37776,0,0,0,1.55499,1.61982,1.42018,1.90783,1.94533,1.83869,1.77428,0,0,0,1.59423,1.5015,1.65836,1.98168,1.78023,1.67927,1.91048,0,0,0
dTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample8.bin,SGrid,3,100,10,19522,0.00867644,144127456,5408,1976,0.000878222,803,230,0.02,0,0.094,0.121,0,0.08,0.226,0,0,0.077,0.031,0.002,17.0213,7379,70.6888,468.348,275,275,1,0.152,6,6,15000,0,0,0,0,0,0,0,0,0,303,0,891,358,7379,5266,0,0,0,0,7.31195,0,0,0,0,0,0,0,0,0,7.28953,0,7.09504,7.40083,7.18062,7.38288,0,0,0,0,1.81754,0,0,0,0,0,0,0,0,0,1.82514,0,1.47709,1.99514,1.71211,1.89658,0,0,0,0
reTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample8.bin,SGrid,3,100,10,20197,0.00897644,176452913,5851,1976,0.000878222,25,230,0.019,0,0.004,0.096,0,0.046,0.167,0,0,0.044,0.034,0.001,47.7876,5904,65.8075,552.149,905,905,1,0.13,6,0,31,0,34,556,8450,5904,0,0,0,0,243,0,174,521,8600,5232,0,0,0,0,6.02713,0,6.83026,7.30083,7.37434,7.23114,0,0,0,0,7.61287,0,7.18963,7.43026,7.19137,7.41392,0,0,0,0,0.892627,0,0.891494,1.88308,1.83571,1.7825,0,0,0,0,1.8778,0,1.85663,1.91201,1.73715,1.9252,0,0,0,0
cTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample9.bin,SGrid,3,100,10,10212,0.00453867,189717090,2438,882,0.000392,469,818,0.02,0,0.014,0.087,0,0.098,0.223,0.001,0,0.095,0.033,0.003,46.6887,5841,31.6921,324.649,907,907,1,0.12,7,0,838,116,240,421,3836,5271,3809,0,0,0,1210,119,755,1410,2091,5841,2756,0,0,0,7.20033,6.64751,7.53337,7.27839,7.44225,7.36901,7.16208,0,0,0,7.27813,7.26184,7.0757,7.50858,7.12448,7.29659,7.5056,0,0,0,1.65656,1.1394,1.95006,1.71359,1.9009,1.83808,1.73798,0,0,0,1.95663,1.6364,1.64912,1.85261,1.69111,1.81195,1.93083,0,0,0
dTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample9.bin,SGrid,3,100,10,10572,0.00469867,173343920,2465,882,0.000392,390,925,0.022,0,0.08,0.102,0,0.083,0.212,0,0,0.081,0.028,0.003,17.1271,11517,73.0331,616.925,270,270,1,0.13,6,6,15000,0,0,0,0,0,0,0,0,0,142,4,177,381,2389,11517,0,0,0,0,7.31195,0,0,0,0,0,0,0,0,0,7.34263,0,6.84069,7.41968,7.22745,7.52375,0,0,0,0,1.81754,0,0,0,0,0,0,0,0,0,1.84795,0,1.15181,1.85382,1.71385,1.90069,0,0,0,0
reTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample9.bin,SGrid,3,100,10,10494,0.004664,172687067,2558,882,0.000392,55,925,0.024,0,0.004,0.072,0,0.044,0.147,0,0,0.042,0.035,0.002,46.9027,5902,64.2035,543.66,905,905,1,0.107,6,0,12,0,34,549,8448,5902,0,0,0,0,184,0,227,497,8256,4911,0,0,0,0,7.1385,0,6.83026,7.30565,7.37372,7.23064,0,0,0,0,6.83896,0,6.86509,7.38638,7.21988,7.53647,0,0,0,0,1.73049,0,0.891494,1.88852,1.83481,1.78192,0,0,0,0,1.70523,0,1.29049,1.88746,1.74784,1.96848,0,0,0,0
cTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample10.bin,SGrid,3,100,10,10701,0.004756,177290571,2497,952,0.000423111,679,867,0.019,0,0.015,0.094,0,0.104,0.236,0.001,0,0.098,0.029,0.003,42.936,8186,31.4062,336.737,907,907,1,0.123,7,0,852,281,256,1589,1334,1823,8186,0,0,0,1810,841,553,1761,2027,3109,4032,0,0,0,7.55571,7.81876,7.23751,7.64254,7.10919,7.07173,7.32243,0,0,0,7.16745,7.44929,7.1948,7.30133,7.54269,7.2053,7.27036,0,0,0,1.86259,2.00525,2.06236,1.97321,1.66699,1.61836,1.82703,0,0,0,1.62757,1.79422,1.81857,1.88887,1.99984,1.8014,1.77992,0,0,0
dTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample10.bin,SGrid,3,100,10,10372,0.00460978,149609769,2490,952,0.000423111,302,392,0.019,0,0.074,0.095,0,0.08,0.199,0,0,0.078,0.029,0.002,16.9355,8626,72.4435,474.035,274,274,1,0.124,6,6,15000,0,0,0,0,0,0,0,0,0,113,0,758,3089,2112,8626,0,0,0,0,7.31195,0,0,0,0,0,0,0,0,0,7.30492,0,7.74353,7.5349,7.15991,7.41691,0,0,0,0,1.81754,0,0,0,0,0,0,0,0,0,1.82917,0,1.96608,1.77076,1.70037,1.74499,0,0,0,0
reTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample10.bin,SGrid,3,100,10,11061,0.004916,175266780,2682,952,0.000423111,67,392,0.019,0.001,0.004,0.075,0,0.043,0.143,0,0,0.042,0.035,0.002,47.5664,6356,65.3562,558.55,905,905,1,0.11,6,0,0,0,34,544,8451,5904,0,0,0,0,134,0,106,706,9508,4154,0,0,0,0,0,0,6.83026,7.30257,7.37471,7.23114,0,0,0,0,7.67616,0,7.58776,7.50921,7.20441,7.4581,0,0,0,0,0,0,0.891494,1.88392,1.83618,1.7825,0,0,0,0,1.78095,0,1.86779,1.89509,1.74803,1.93431,0,0,0,0
