Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:TD(Case1)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample8.bin,SGrid,3,100,100,117441,0.734006,1009306,26443,8174,0.0510875,0,0,0.002,0,0.003,0.114,0.111,0.02,0.149,0.001,0,0.019,0.009,0,28.3333,1382,33.3333,134.941,241,241,1,0.123,5,0,623,837,507,651,1382,0,0,0,0,0,507,799,533,784,1377,0,0,0,0,0,50.5016,50.4988,50.4999,50.5018,50.5025,0,0,0,0,0,50.4935,50.4999,50.4971,50.5038,50.4983,0,0,0,0,0,0.201944,0.208213,0.209963,0.205506,0.206781,0,0,0,0,0,0.209887,0.206991,0.206556,0.202882,0.200915,0,0,0,0,0
dTOUCH:BU(Case4)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample8.bin,SGrid,3,100,100,117984,0.7374,10141450,26239,8174,0.0510875,0,0,0.001,0,0.096,0.123,0,0.014,0.141,0.002,0,0.014,0.006,0,17.6471,1743,70.8333,198.711,74,74,1,0.129,5,5,4000,0,0,0,0,0,0,0,0,0,287,326,710,1743,934,0,0,0,0,0,50.5011,0,0,0,0,0,0,0,0,0,50.5145,50.498,50.4979,50.5087,50.4958,0,0,0,0,0,0.206541,0,0,0,0,0,0,0,0,0,-nan,0.206909,0.197561,0.199146,0.204344,0,0,0,0,0
dTOUCH:TD(Case1)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample8.bin,SGrid,3,100,100,117984,0.7374,2911525,26239,8174,0.0510875,0,0,0.002,0,0.102,0.121,0.116,0.012,0.148,0.001,0,0.012,0.01,0,17.6471,1743,70.8333,198.711,74,74,1,0.131,5,5,4000,0,0,0,0,0,0,0,0,0,287,326,710,1743,934,0,0,0,0,0,50.5011,0,0,0,0,0,0,0,0,0,50.5145,50.498,50.4979,50.5087,50.4958,0,0,0,0,0,0.206541,0,0,0,0,0,0,0,0,0,-nan,0.206909,0.197561,0.199146,0.204344,0,0,0,0,0
reTOUCH:BU(Case4)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample8.bin,SGrid,3,100,100,119477,0.746731,15876459,26664,8174,0.0510875,0,0,0.002,0,0.001,0.127,0,0.01,0.141,0.001,0,0.009,0.009,0.001,39.5161,2183,64.5161,317.449,249,249,1,0.136,5,0,134,86,289,1308,2183,0,0,0,0,0,100,141,290,1307,2162,0,0,0,0,0,50.5028,50.5174,50.5079,50.4999,50.5003,0,0,0,0,0,50.4829,50.5001,50.5025,50.5018,50.4973,0,0,0,0,0,0.197448,0.204713,0.206686,0.205711,0.20759,0,0,0,0,0,0.192743,0.205546,0.209565,0.202259,0.205474,0,0,0,0,0
reTOUCH:TD(Case1)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample8.bin,SGrid,3,100,100,119374,0.746088,7028407,26609,8174,0.0510875,0,0,0.003,0,0.001,0.114,0.112,0.011,0.139,0.001,0,0.01,0.009,0,39.5161,2183,64.5161,317.449,249,249,1,0.123,5,0,134,86,289,1308,2183,0,0,0,0,0,100,141,290,1307,2162,0,0,0,0,0,50.5028,50.5174,50.5079,50.4999,50.5003,0,0,0,0,0,50.4829,50.5001,50.5025,50.5018,50.4973,0,0,0,0,0,0.197448,0.204713,0.206686,0.205711,0.20759,0,0,0,0,0,0.192743,0.205546,0.209565,0.202259,0.205474,0,0,0,0,0
cTOUCH:BU(Case4)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample9.bin,SGrid,3,100,100,117075,0.731719,11187925,26506,8321,0.0520062,0,0,0.001,0,0.003,0.134,0,0.02,0.158,0,0,0.019,0.012,0,30,1415,33.3333,136.068,241,241,1,0.146,5,0,410,756,778,641,1415,0,0,0,0,0,515,839,626,653,1367,0,0,0,0,0,50.4997,50.5027,50.497,50.5047,50.5014,0,0,0,0,0,50.4994,50.4984,50.4908,50.496,50.5052,0,0,0,0,0,0.200815,0.207852,0.206534,0.20621,0.207585,0,0,0,0,0,0.200166,0.202028,0.198057,0.208825,0.205895,0,0,0,0,0
cTOUCH:TD(Case1)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample9.bin,SGrid,3,100,100,117075,0.731719,1317081,26506,8321,0.0520062,0,0,0.001,0,0.003,0.114,0.11,0.019,0.148,0.001,0,0.019,0.009,0,30,1415,33.3333,136.068,241,241,1,0.123,5,0,410,756,778,641,1415,0,0,0,0,0,515,839,626,653,1367,0,0,0,0,0,50.4997,50.5027,50.497,50.5047,50.5014,0,0,0,0,0,50.4994,50.4984,50.4908,50.496,50.5052,0,0,0,0,0,0.200815,0.207852,0.206534,0.20621,0.207585,0,0,0,0,0,0.200166,0.202028,0.198057,0.208825,0.205895,0,0,0,0,0
dTOUCH:BU(Case4)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample9.bin,SGrid,3,100,100,119057,0.744106,10650320,26707,8321,0.0520062,0,0,0.001,0,0.097,0.122,0,0.017,0.142,0.003,0,0.016,0.01,0.001,17.6471,1657,70.9804,202.899,74,74,1,0.132,5,5,4000,0,0,0,0,0,0,0,0,0,160,347,678,1657,1158,0,0,0,0,0,50.5011,0,0,0,0,0,0,0,0,0,50.5144,50.4968,50.4911,50.508,50.4954,0,0,0,0,0,0.206541,0,0,0,0,0,0,0,0,0,-nan,0.208197,0.194642,0.204698,0.20315,0,0,0,0,0
dTOUCH:TD(Case1)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample9.bin,SGrid,3,100,100,119057,0.744106,3404400,26707,8321,0.0520062,0,0,0.002,0,0.104,0.122,0.119,0.016,0.15,0,0,0.015,0.007,0,17.6471,1657,70.9804,202.899,74,74,1,0.129,5,5,4000,0,0,0,0,0,0,0,0,0,160,347,678,1657,1158,0,0,0,0,0,50.5011,0,0,0,0,0,0,0,0,0,50.5144,50.4968,50.4911,50.508,50.4954,0,0,0,0,0,0.206541,0,0,0,0,0,0,0,0,0,-nan,0.208197,0.194642,0.204698,0.20315,0,0,0,0,0
reTOUCH:BU(Case4)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample9.bin,SGrid,3,100,100,120583,0.753644,15884540,26971,8321,0.0520062,0,0,0.002,0,0.001,0.127,0,0.01,0.141,0.001,0,0.009,0.009,0.001,39.5161,2183,64.5161,318.548,249,249,1,0.136,5,0,132,88,289,1308,2183,0,0,0,0,0,99,121,248,1410,2122,0,0,0,0,0,50.5054,50.5132,50.5079,50.4999,50.5003,0,0,0,0,0,50.5039,50.5135,50.4965,50.501,50.4974,0,0,0,0,0,0.198748,0.202876,0.206686,0.205711,0.20759,0,0,0,0,0,0.201442,0.207798,0.192503,0.205599,0.20351,0,0,0,0,0
