Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH,5,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample6.bin,SGrid,3,100,100,45,0.001125,1156269,11,4,0.0001,14,4,0.007,0,0.001,0.003,0.002,0.004,0.397,0,0,0.003,0.381,0.001,16.129,1008,64.2258,180.632,125,125,500,0.384,4,0,405,185,456,940,0,0,0,0,0,0,296,247,445,1008,0,0,0,0,0,0,0.132688,0.131716,0.123514,0.126563,0,0,0,0,0,0,0.121446,0.130212,0.131612,0.126285,0,0,0,0,0,0,0.109289,0.100297,0.0885967,0.0969541,0,0,0,0,0,0,0.0890119,0.0917636,0.0958162,0.0991069,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample6.bin,SGrid,3,100,100,52,0.0013,1075791,18,4,0.0001,14,39,0.003,0,0.002,0.003,0.003,0.004,0.416,0,0,0.004,0.404,0,24.1935,940,63.6613,174.381,125,125,500,0.407,4,0,405,185,456,940,0,0,0,0,0,0,417,161,464,919,0,0,0,0,0,0,0.132688,0.131716,0.123514,0.126563,0,0,0,0,0,0,0.124173,0.122751,0.130806,0.127094,0,0,0,0,0,0,0.109289,0.100297,0.0885967,0.0969541,0,0,0,0,0,0,0.0894904,0.083456,0.0958337,0.100803,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample6.bin,SGrid,3,100,100,69,0.001725,4000000,3,1,2.5e-05,0,0,0.003,0,0.001,0.002,0.001,0.005,0.017,0,0,0.005,0.005,0,48.3871,2000,64.5161,353.369,125,125,500,0.007,4,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0,0,0,0.127203,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.0960798,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample6.bin,SGrid,3,100,100,69,0.001725,4000000,3,1,2.5e-05,0,0,0.004,0,0.001,0.003,0.001,0.005,0.016,0,0,0.005,0.003,0,48.3871,2000,64.5161,353.369,125,125,500,0.006,4,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0,0,0,0.127203,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.0960798,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample3.bin,./samples/2000/sample6.bin,SGrid,3,100,100,52,0.0013,2250998,6,5,0.000125,0,2,0.006,0,0.001,0.002,0.001,0.006,0.397,0,0,0.006,0.381,0,38.7097,1431,64.4839,261.124,125,125,500,0.383,4,0,97,47,433,1423,0,0,0,0,0,0,77,27,463,1431,0,0,0,0,0,0,0.121089,0.131361,0.121744,0.12692,0,0,0,0,0,0,0.122846,0.114335,0.132013,0.126188,0,0,0,0,0,0,0.0801513,0.0871277,0.095684,0.0976648,0,0,0,0,0,0,0.0840587,0.0792936,0.0955215,0.0971269,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample3.bin,./samples/2000/sample6.bin,SGrid,3,100,100,60,0.0015,2209967,4,5,0.000125,0,2,0.004,0,0.001,0.003,0.002,0.005,0.021,0,0,0.004,0.006,0.001,41.9355,1423,64.4839,258.563,125,125,500,0.009,4,0,97,47,433,1423,0,0,0,0,0,0,83,36,485,1394,0,0,0,0,0,0,0.121089,0.131361,0.121744,0.12692,0,0,0,0,0,0,0.117337,0.135094,0.130892,0.126369,0,0,0,0,0,0,0.0801513,0.0871277,0.095684,0.0976648,0,0,0,0,0,0,0.0802076,0.103052,0.0942549,0.0973581,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample4.bin,./samples/2000/sample6.bin,SGrid,3,100,100,60,0.0015,1176843,14,5,0.000125,8,3,0.002,0,0.001,0.004,0.002,0.003,0.025,0,0,0.003,0.014,0,20.9677,1002,64.3387,182.97,125,125,500,0.018,4,0,380,131,479,1002,0,0,0,0,0,0,358,215,453,971,0,0,0,0,0,0,0.120616,0.125051,0.124538,0.123408,0,0,0,0,0,0,0.123289,0.126796,0.13186,0.126703,0,0,0,0,0,0,0.0923916,0.0876892,0.0963641,0.100645,0,0,0,0,0,0,0.0907456,0.0920068,0.0954371,0.0991255,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample4.bin,./samples/2000/sample6.bin,SGrid,3,100,100,45,0.001125,1165521,13,5,0.000125,8,12,0.002,0,0.002,0.004,0.002,0.004,0.024,0,0,0.003,0.012,0,22.5806,1002,64.1935,182.192,125,125,500,0.016,4,0,380,131,479,1002,0,0,0,0,0,0,404,137,495,952,0,0,0,0,0,0,0.120616,0.125051,0.124538,0.123408,0,0,0,0,0,0,0.125192,0.12249,0.131112,0.126749,0,0,0,0,0,0,0.0923916,0.0876892,0.0963641,0.100645,0,0,0,0,0,0,0.0927997,0.0799667,0.0969977,0.0990344,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample5.bin,./samples/2000/sample6.bin,SGrid,3,100,100,49,0.001225,965712,15,5,0.000125,10,5,0.002,0,0.001,0.004,0.001,0.003,0.404,0,0,0.003,0.393,0.001,19.3548,766,64.2742,156.946,125,125,500,0.397,4,0,411,130,804,645,0,0,0,0,0,0,364,195,670,766,0,0,0,0,0,0,0.120249,0.11312,0.12273,0.121554,0,0,0,0,0,0,0.124575,0.13046,0.128898,0.125974,0,0,0,0,0,0,0.0846753,0.0937384,0.0920056,0.0953725,0,0,0,0,0,0,0.0917371,0.0998882,0.0939588,0.0989969,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample5.bin,./samples/2000/sample6.bin,SGrid,3,100,100,53,0.001325,893129,11,5,0.000125,10,10,0.006,0,0.002,0.003,0.002,0.006,0.029,0,0,0.006,0.01,0.001,24.1935,647,64.1935,155.3,125,125,500,0.013,4,0,411,130,804,645,0,0,0,0,0,0,409,141,812,628,0,0,0,0,0,0,0.120249,0.11312,0.12273,0.121554,0,0,0,0,0,0,0.127008,0.129064,0.127377,0.125711,0,0,0,0,0,0,0.0846753,0.0937384,0.0920056,0.0953725,0,0,0,0,0,0,0.0931065,0.0966605,0.0954025,0.0981174,0,0,0,0,0,0,
