Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample7.bin,SGrid,3,100,10,15536,0.062144,18148158,8,52,0.000208,192,1138,0.007,0,0.001,0.039,0,0.02,0.067,0,0,0.019,0.003,0,44.0789,2694,57.0395,322.71,305,305,1,0.042,5,0,10,0,1210,894,2694,0,0,0,0,0,234,1,392,569,2666,0,0,0,0,0,5.99622,0,7.35943,6.89668,7.42488,0,0,0,0,0,7.03587,10.5687,7.26213,6.67827,7.5346,0,0,0,0,0,1.009,0,1.78399,1.46369,1.9349,0,0,0,0,0,1.28949,2.75717,1.78185,1.07306,1.99227,0,0,0,0,0,
cTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample8.bin,SGrid,3,100,10,15482,0.061928,7979760,1967,139,0.000556,1827,1724,0.006,0,0.004,0.039,0,0.034,0.083,0,0,0.033,0.005,0,43.1373,1234,21.0752,108.463,307,307,1,0.044,6,0,80,617,442,1104,802,128,0,0,0,0,64,212,628,721,1234,417,0,0,0,0,7.29203,7.33594,7.29752,7.49335,7.10652,6.87361,0,0,0,0,6.91875,7.15438,7.77943,7.75752,6.98007,7.3754,0,0,0,0,1.7721,1.76928,1.69345,1.95575,1.63778,1.00006,0,0,0,0,1.52298,1.82601,2.07415,2.13744,1.47079,1.74519,0,0,0,0,
dTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample8.bin,SGrid,3,100,10,5472,0.021888,6736071,213,139,0.000556,1067,1694,0.006,0,0.013,0.019,0,0.022,0.05,0,0,0.022,0.007,0.001,17.1429,2283,88.1429,290.515,74,74,1,0.026,5,4,5000,0,0,0,0,0,0,0,0,0,1359,0,291,2283,0,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,7.42151,7.73274,7.20409,8.20022,7.28736,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.81211,1.18069,1.17048,2.55072,1.87755,0,0,0,0,0,
reTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample8.bin,SGrid,3,100,10,39294,0.157176,15333414,20,139,0.000556,192,1694,0.009,0,0.001,0.087,0,0.014,0.112,0,0,0.014,0.002,0.001,44.7368,2682,53.3816,292.591,305,305,1,0.089,5,0,10,0,1199,917,2682,0,0,0,0,0,779,1,41,519,1966,0,0,0,0,0,5.99622,0,7.36226,6.91822,7.42812,0,0,0,0,0,6.99517,7.73274,7.07849,7.8792,7.33133,0,0,0,0,0,1.009,0,1.78594,1.49152,1.93756,0,0,0,0,0,1.69643,1.18069,1.15462,2.14505,1.78069,0,0,0,0,0,
cTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample9.bin,SGrid,3,100,10,4517,0.018068,7590946,359,69,0.000276,1506,2698,0.006,0.001,0.003,0.014,0,0.033,0.056,0,0,0.032,0.003,0,45.7516,2442,18.9412,158.281,307,307,1,0.017,6,0,198,197,160,40,457,2442,0,0,0,0,30,104,126,626,1098,318,0,0,0,0,6.81962,7.13924,7.80009,8.89988,7.19688,7.49494,0,0,0,0,6.58087,7.48996,7.4344,7.29033,7.40475,7.14326,0,0,0,0,1.09882,1.43947,1.95829,2.83704,1.77191,1.96008,0,0,0,0,0.704162,1.54912,1.97646,1.74046,1.85869,1.79973,0,0,0,0,
dTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample9.bin,SGrid,3,100,10,2431,0.009724,4569950,21,69,0.000276,1399,2501,0.005,0,0.008,0.012,0,0.023,0.042,0,0,0.021,0.004,0,17.1875,1250,88.7188,183.393,72,72,1,0.016,5,4,5000,0,0,0,0,0,0,0,0,0,1285,401,665,1250,0,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,7.33237,8.36777,7.74256,7.39544,7.44773,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.82863,2.37571,2.027,1.73843,1.83682,0,0,0,0,0,
reTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample9.bin,SGrid,3,100,10,11585,0.04634,11748292,55,69,0.000276,221,2501,0.006,0,0.001,0.028,0,0.018,0.054,0,0,0.017,0.003,0.001,44.7368,2692,47.8816,273.102,305,305,1,0.031,5,0,0,0,1190,897,2692,0,0,0,0,0,39,83,157,636,1584,0,0,0,0,0,0,0,7.39254,6.89669,7.42676,0,0,0,0,0,7.6556,8.40402,7.63551,7.40221,7.27295,0,0,0,0,0,0,0,1.82645,1.46148,1.93505,0,0,0,0,0,1.80452,2.39824,1.86186,1.85401,1.80711,0,0,0,0,0,
cTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample10.bin,SGrid,3,100,10,12058,0.048232,4343092,4719,285,0.00114,2303,2711,0.008,0,0.003,0.031,0,0.034,0.078,0,0,0.033,0.004,0.001,41.5033,760,16.2941,81.8991,307,307,1,0.035,6,0,203,208,304,1002,760,220,0,0,0,0,209,295,247,884,654,0,0,0,0,0,6.65663,7.45493,6.86136,7.7199,7.32365,7.25209,0,0,0,0,7.9931,7.41961,6.78381,7.14608,7.34286,0,0,0,0,0,1.45776,1.91817,1.41076,2.02072,1.88035,1.88602,0,0,0,0,2.20001,1.75621,1.0862,1.65883,1.96636,0,0,0,0,0,
dTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample10.bin,SGrid,3,100,10,4619,0.018476,5857530,440,285,0.00114,2371,937,0.014,0,0.014,0.017,0,0.022,0.056,0,0,0.021,0.004,0,18,879,57.56,121.019,83,83,1,0.021,5,5,5000,0,0,0,0,0,0,0,0,0,340,5,1251,543,490,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,7.22504,0,8.08922,7.63682,7.1754,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.75975,0,2.29761,1.85052,1.85154,0,0,0,0,0,
reTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample10.bin,SGrid,3,100,10,68795,0.27518,19041836,80,285,0.00114,215,937,0.008,0,0.001,0.151,0,0.015,0.176,0,0,0.014,0.002,0,46.7105,3027,58.2105,342.961,305,305,1,0.153,5,0,0,0,1202,894,2689,0,0,0,0,0,550,0,39,447,3027,0,0,0,0,0,0,0,7.36223,6.89668,7.42642,0,0,0,0,0,6.75045,0,7.64063,7.83937,7.14002,0,0,0,0,0,0,0,1.78417,1.46369,1.93605,0,0,0,0,0,1.40246,0,1.88499,2.11442,1.7083,0,0,0,0,0,
