Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:TD(Case1),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,4,0.0001,2195200,0,0,0,114,8,0.001,0,0.006,0.009,0,0.007,0.018,0,0,0.007,0.006,0,18.1818,848,72.7727,158.083,35,35,1,0.015,4,4,2000,0,0,0,0,0,0,0,0,0,282,76,680,848,0,0,0,0,0,0,1.49549,0,0,0,0,0,0,0,0,0,1.49699,1.49787,1.49578,1.5047,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,0.194426,0.20441,0.195299,0.210533,0,0,0,0,0,0
dTOUCH:BU(Case4),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,4,0.0001,904604,0,0,0,114,8,0.002,0,0.007,0.005,0.002,0.012,0.03,0,0,0.012,0.008,0,18.1818,848,72.7727,158.083,35,35,1,0.013,4,4,2000,0,0,0,0,0,0,0,0,0,282,76,680,848,0,0,0,0,0,0,1.49549,0,0,0,0,0,0,0,0,0,1.49699,1.49787,1.49578,1.5047,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,0.194426,0.20441,0.195299,0.210533,0,0,0,0,0,0
dTOUCH:TD(Case1),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,0,0,3366163,0,0,0,9,8,0.002,0,0.002,0.008,0,0.009,0.022,0,0,0.009,0.007,0,20.9677,951,64.2419,174.33,125,125,1,0.015,4,0,341,223,476,951,0,0,0,0,0,0,274,281,491,946,0,0,0,0,0,0,1.49655,1.50657,1.49386,1.49344,0,0,0,0,0,0,1.50759,1.50042,1.49615,1.49567,0,0,0,0,0,0,0.208811,0.207205,0.203851,0.201637,0,0,0,0,0,0,0.199585,0.202016,0.199748,0.204551,0,0,0,0,0,0
reTOUCH:BU(Case4),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,4,0.0001,1072598,0,0,0,9,8,0.001,0,0.001,0.003,0.002,0.006,0.02,0,0,0.006,0.008,0,20.9677,951,64.2419,174.33,125,125,1,0.011,4,0,341,223,476,951,0,0,0,0,0,0,274,281,491,946,0,0,0,0,0,0,1.49655,1.50657,1.49386,1.49344,0,0,0,0,0,0,1.50759,1.50042,1.49615,1.49567,0,0,0,0,0,0,0.208811,0.207205,0.203851,0.201637,0,0,0,0,0,0,0.199585,0.202016,0.199748,0.204551,0,0,0,0,0,0
reTOUCH:TD(Case1),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,0,0,3032741,0,0,0,34,27,0.001,0,0.002,0.009,0,0.011,0.023,0,0,0.01,0.005,0,17.7419,852,31.7661,101.493,125,125,1,0.014,5,0,485,266,245,521,449,0,0,0,0,0,299,177,209,436,852,0,0,0,0,0,1.49276,1.51729,1.49252,1.49096,1.49288,0,0,0,0,0,1.49363,1.51611,1.49515,1.50433,1.5002,0,0,0,0,0,0.201042,0.207801,0.202014,0.205382,0.203847,0,0,0,0,0,0.204711,0.199457,0.206638,0.208494,0.208676,0,0,0,0,0
cTOUCH:BU(Case4),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,0,0,276982,0,0,0,34,27,0.001,0,0.002,0.004,0.003,0.01,0.023,0,0,0.01,0.005,0.001,17.7419,852,31.7661,101.493,125,125,1,0.009,5,0,485,266,245,521,449,0,0,0,0,0,299,177,209,436,852,0,0,0,0,0,1.49276,1.51729,1.49252,1.49096,1.49288,0,0,0,0,0,1.49363,1.51611,1.49515,1.50433,1.5002,0,0,0,0,0,0.201042,0.207801,0.202014,0.205382,0.203847,0,0,0,0,0,0.204711,0.199457,0.206638,0.208494,0.208676,0,0,0,0,0
cTOUCH:TD(Case1),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,0,0,2132182,0,0,0,101,17,0.001,0,0.004,0.009,0,0.007,0.017,0,0,0.007,0.006,0,18.1818,841,73.0909,148.612,35,35,1,0.015,4,4,2000,0,0,0,0,0,0,0,0,0,170,334,554,841,0,0,0,0,0,0,1.49549,0,0,0,0,0,0,0,0,0,1.50335,1.49665,1.50285,1.50076,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,0.198807,0.200957,0.201496,0.21204,0,0,0,0,0,0
dTOUCH:BU(Case4),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,0,0,951475,0,0,0,101,17,0,0,0.005,0.005,0.003,0.007,0.02,0,0,0.007,0.007,0,18.1818,841,73.0909,148.612,35,35,1,0.012,4,4,2000,0,0,0,0,0,0,0,0,0,170,334,554,841,0,0,0,0,0,0,1.49549,0,0,0,0,0,0,0,0,0,1.50335,1.49665,1.50285,1.50076,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,0.198807,0.200957,0.201496,0.21204,0,0,0,0,0,0
dTOUCH:TD(Case1),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,0,0,3351841,0,0,0,19,17,0.001,0,0.001,0.012,0,0.003,0.017,0,0,0.003,0.008,0,20.9677,954,63.9355,175.496,125,125,1,0.02,4,0,373,168,486,954,0,0,0,0,0,0,267,254,508,954,0,0,0,0,0,0,1.49476,1.50817,1.49465,1.49344,0,0,0,0,0,0,1.49531,1.49705,1.50345,1.50206,0,0,0,0,0,0,0.206912,0.204762,0.205797,0.201555,0,0,0,0,0,0,0.212079,0.203262,0.20573,0.207164,0,0,0,0,0,0
reTOUCH:BU(Case4),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,0,0,1085260,0,0,0,19,17,0.001,0,0.001,0.004,0.002,0.003,0.017,0,0,0.003,0.007,0,20.9677,954,63.9355,175.496,125,125,1,0.011,4,0,373,168,486,954,0,0,0,0,0,0,267,254,508,954,0,0,0,0,0,0,1.49476,1.50817,1.49465,1.49344,0,0,0,0,0,0,1.49531,1.49705,1.50345,1.50206,0,0,0,0,0,0,0.206912,0.204762,0.205797,0.201555,0,0,0,0,0,0,0.212079,0.203262,0.20573,0.207164,0,0,0,0,0,0
