Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
dTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample4.bin,SGrid,3,100,100,121,0.003025,1180616,2,2,5e-05,30,6,0.001,0,0.004,0.004,0.002,0.005,0.013,0,0,0.005,0.002,0,18.1818,931,74.5,182.818,69,69,1,0.006,4,4,2000,0,0,0,0,0,0,0,0,0,106,92,841,931,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,166.44,167.766,165.434,165.418,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,8.24975,11.16,11.5618,11.2585,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample4.bin,SGrid,3,100,100,89,0.002225,1112657,2,2,5e-05,10,6,0.001,0,0.001,0.002,0.001,0.003,0.009,0,0,0.003,0.002,0,22.5806,964,64.2581,177.047,125,125,1,0.004,4,0,273,275,478,964,0,0,0,0,0,0,264,281,494,955,0,0,0,0,0,0,165.632,166.651,165.974,165.792,0,0,0,0,0,0,166.763,166.949,166.251,166.16,0,0,0,0,0,0,10.31,10.5235,10.3167,10.5721,0,0,0,0,0,0,11.192,11.1013,10.9383,10.5069,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample4.bin,SGrid,3,100,100,83,0.002075,0,2,2,5e-05,10,17,0.001,0,0.001,0.002,0.001,0.003,0.009,0,0,0.003,0.002,0,29.0323,964,64.0806,175.752,125,125,1,0.004,4,0,273,275,478,964,0,0,0,0,0,0,259,298,487,939,0,0,0,0,0,0,165.632,166.651,165.974,165.792,0,0,0,0,0,0,167.04,166.64,166.483,166.115,0,0,0,0,0,0,10.31,10.5235,10.3167,10.5721,0,0,0,0,0,0,11.2633,11.1535,10.9866,10.4613,0,0,0,0,0,0,
SGrid,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample5.bin,NL,0,0,1000000,71,0.001775,0,15,5,0.000125,0,0,0.012,0,0.001,0.001,0,0,0.025,0,0,0,0,0,0,0,0,0,1,1,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample5.bin,SGrid,3,100,100,71,0.001775,2480400,17,5,0.000125,0,3,0.001,0,0,0.004,0.002,0.003,0.008,0,0,0.003,0.002,0,24.1935,969,64.4677,129.974,27,27,1,0.006,4,0,2000,0,0,0,0,0,0,0,0,0,264,286,478,969,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,165.524,165.715,166.502,166.089,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,10.2307,10.3819,11.2551,10.4707,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample5.bin,NL,0,0,1000000,306,0.00765,0,25,5,0.000125,0,0,0.001,0,0.005,0.036,0,0,0.042,0,0,0,0,0,0,0,0,0,1,1,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample5.bin,SGrid,3,100,100,123,0.003075,117402,3,5,0.000125,9,9,0.001,0,0.002,0.003,0.002,0.007,0.016,0,0,0.007,0.003,0,14.5161,685,32.1129,79.1637,125,125,1,0.006,5,0,496,207,163,823,302,0,0,0,0,0,673,287,238,553,240,0,0,0,0,0,166.259,165.807,165.688,166,165.727,0,0,0,0,0,165.848,166.166,166.137,166.161,166.488,0,0,0,0,0,10.2996,10.0638,10.7881,10.7812,10.0065,0,0,0,0,0,10.5771,10.6553,10.0357,10.703,11.0711,0,0,0,0,0,
dTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample5.bin,SGrid,3,100,100,146,0.00365,1007388,3,5,0.000125,72,3,0.001,0,0.003,0.003,0.002,0.005,0.012,0,0,0.005,0.003,0,18.1818,933,73.8636,174.682,69,69,1,0.006,4,4,2000,0,0,0,0,0,0,0,0,0,212,29,754,933,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,165.974,165.666,167.847,168.152,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,8.48688,10.1808,11.2123,10.5506,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample5.bin,SGrid,3,100,100,115,0.002875,1118696,3,5,0.000125,12,3,0.001,0,0.001,0.003,0.001,0.003,0.01,0,0,0.003,0.002,0,24.1935,969,64.2742,177.449,125,125,1,0.005,4,0,288,255,480,965,0,0,0,0,0,0,264,286,478,969,0,0,0,0,0,0,166.01,166.273,165.993,165.793,0,0,0,0,0,0,165.524,165.715,166.502,166.089,0,0,0,0,0,0,10.2557,10.7355,10.2624,10.5667,0,0,0,0,0,0,10.2307,10.3819,11.2551,10.4707,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample5.bin,SGrid,3,100,100,122,0.00305,0,3,5,0.000125,12,13,0,0,0.001,0.002,0,0.003,0.01,0,0,0.003,0.002,0.001,29.0323,965,64.1129,175.7,125,125,1,0.004,4,0,288,255,480,965,0,0,0,0,0,0,274,298,464,951,0,0,0,0,0,0,166.01,166.273,165.993,165.793,0,0,0,0,0,0,165.874,165.854,166.286,166.082,0,0,0,0,0,0,10.2557,10.7355,10.2624,10.5667,0,0,0,0,0,0,10.374,10.3093,11.2017,10.5195,0,0,0,0,0,0,
SGrid,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,NL,0,0,1000000,41,0.001025,0,0,1,2.5e-05,0,0,0.002,0,0.002,0,0,0,0.014,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,40,0.001,2473500,0,1,2.5e-05,0,0,0.001,0,0,0.004,0.003,0.004,0.009,0,0,0.003,0.001,0,22.5806,959,64.5161,129.619,28,28,1,0.005,4,0,2000,0,0,0,0,0,0,0,0,0,263,285,493,959,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,166.912,166.406,166.183,165.924,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,10.4412,9.91829,10.5372,10.4086,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,NL,0,0,1000000,261,0.006525,0,7,1,2.5e-05,0,0,0.001,0,0.006,0.04,0,0,0.048,0,0,0,0,0,0,0,0,0,1,1,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,89,0.002225,161573,3,1,2.5e-05,10,10,0.001,0,0.001,0.003,0.002,0.009,0.017,0,0,0.008,0.002,0.001,23.3871,888,32.0968,103.233,125,125,1,0.005,5,0,584,212,268,590,336,0,0,0,0,0,349,117,188,448,888,0,0,0,0,0,166.056,167.806,167.096,165.103,165.297,0,0,0,0,0,165.888,167.104,166.434,166.154,166.218,0,0,0,0,0,10.4696,10.4565,10.5125,10.6091,9.85595,0,0,0,0,0,10.2415,11.1783,10.9153,9.93295,10.3726,0,0,0,0,0,
